repo,is_archived,is_fork,created_at,pushed_at,repo_age_days,days_since_last_commit,commit_count,bug_commits,total_issues,open_issues,closed_issues,bug_issues,open_bug_issues,closed_bug_issues,avg_bug_days_open,avg_issue_days_open,median_issue_days_open,pull_requests,open_prs,merged_prs,languages,topics,discussion_count,discussion_titles,has_CI,ci_files,has_tests,test_files,stars,forks,watchers,error
annasrees/Advanced_Bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annataylor9916/diff_express_projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnnaToussaint/bash-scripts-for-bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnneElliot/Bioinformatic_stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annemarie-sharp/Bash_basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annemarie-sharp/TNF_sequence_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnneTukker/BIO-DSB_workshop4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
anniebea/Neighbour-Joining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnneTukker/R_script_DSB_workshop6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annusingh100995/bioinformatics_algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
anorris8/RGEOde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnouarMejait/Anouar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
