repo,doi,pmid,grant_funded,funding_sources,num_linked_grants,num_developer_grants,num_collaborator_grants,developer_project_nums,developer_core_nums,developer_orgs,developer_org_states,developer_agencies,developer_cost_by_currency,developer_cost_usd,all_org_names,all_agencies,total_cost_by_currency,total_cost_usd,earliest_project_start,latest_project_end,note
isselab/HAnS,10.1145/3748269.3748487,,True,Other,1,0,1,,,,,,,,Ruhr-Universität Bochum,Other,EUR:2198833,,2019-01-01 00:00:00,2019-12-31 00:00:00,OK
JacobBumgarner/VesselVio,10.1016/j.crmeth.2022.100189,35497491,True,NIH,5,0,5,,,,,,,,WEST VIRGINIA UNIVERSITY,NIA; NINDS; NCRR; NIGMS,USD:3333263,3333263.0,2001-09-14T00:00:00,2027-04-30T00:00:00,OK
jaleesr/TrendCatcher,10.1172/jci.insight.157255,35175937,True,NIH; Other,5,1,4,5R01HL149300-04,R01HL149300,UNIVERSITY OF ILLINOIS AT CHICAGO,IL,NHLBI,USD:374745,374745.0,UNIVERSITY OF ILLINOIS AT CHICAGO,NHLBI; Other,USD:865153,865153.0,2018-07-01T00:00:00,2024-06-30T00:00:00,OK
Jammy2211/PyAutoGalaxy,10.21105/joss.04475,,True,Other,19,0,19,,,,,,,,CARDIFF UNIVERSITY; UNIVERSITY OF DURHAM; UNIVERSITY COLLEGE LONDON,Other,GBP:11345765; EUR:4264048,,2011-06-14 00:00:00,2025-09-30 00:00:00,OK
Jammy2211/PyAutoLens,10.21105/joss.02825,,True,Other,30,24,6,ST/T002565/1; ST/V001582/1; ST/P000541; ST/S002502/1; ST/S00033X/1; ST/M006530/1; ST/V002376/1; ST/T001550/1; ST/T001348/1; ST/T001372/1; ST/R001006/1; ST/T000244/1; ST/M007065/1; ST/P002447/1; ST/S003916/1; ST/K00042X/1; ST/R001014/1; ST/P002293/1; ST/M007073/1; ST/S003762/1; ST/M007006/1; ST/M006948/1; ST/R000832/1; ST/V002384/1,,,,Other,GBP:141510,,CARDIFF UNIVERSITY; UNIVERSITY OF DURHAM; UNIVERSITY COLLEGE LONDON,Other,GBP:6125133; EUR:4264048,,2011-06-14 00:00:00,2025-09-30 00:00:00,OK
jannisborn/covid19_ultrasound,10.3390/app11020672,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
JanThorbecke/OpenSource,10.1016/j.cageo.2024.105577,,True,Other,2,1,1,Horizon 2020,,,,Other,,,TECHNISCHE UNIVERSITEIT DELFT,Other,EUR:2499474,,2017-09-01 00:00:00,2023-02-28 00:00:00,OK
jerabaul29/OpenMetBuoy-v2021a,10.3390/geosciences12030110,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
jofmi/agentpy,10.21105/joss.03065,,True,Other,2,0,2,,,,,,,,UNIVERSITAT AUTONOMA DE BARCELONA,Other,EUR:1943924,,2018-01-01 00:00:00,2023-06-30 00:00:00,OK
jonhrafe/MCDC_Simulator_public,10.3389/fninf.2020.00008,32210781,True,Other,2,1,1,175974,,École Polytechnique Fédérale de Lausanne,,Other,CHF:750000,,École Polytechnique Fédérale de Lausanne; University of Zurich – ZH,Other,CHF:1208149,,2017-11-01 00:00:00,2025-12-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
jpdominguez/pyNAVIS,10.1016/j.neucom.2021.03.121,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
jremington/UWB-Indoor-Localization_Arduino,10.1186/s13638-015-0298-1,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
jstmn/ikflow,10.1109/LRA.2022.3181374,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
JuliaControl/ModelPredictiveControl.jl,10.48550/arXiv.2411.09764,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
JuliaRheology/RHEOS.jl,10.21105/joss.01700,,True,Other,5,0,5,,,,,,,,,Other,GBP:1472010,,2013-11-01 00:00:00,2019-10-31 00:00:00,OK
junaidmalik09/fastonn,10.1007/s00521-020-04780-3,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
Jyonn/ONCE,10.1145/3616855.3635845,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
kelu124/echomods,10.5334/joh.2,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
kevinkovalchik/RawTools,10.1021/acs.jproteome.8b00721,30462513,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
kineticstoolkit/kineticstoolkit,10.21105/joss.03714,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
KitwareMedical/ITKPOCUS,10.1007/978-3-030-60334-2_3,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
kitzeslab/opensoundscape,10.1111/2041-210X.14196,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
kmansouri/OPERA,10.1186/s13321-018-0263-1,29520515,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
